Trust,Site,Room
BDAT,BBEC,R105
BDAT,BBEC,R106
BDAT,BBEC,R107
BDAT,BBEC,R108
BDAT,BBEC,R109
BDAT,IMM,Room1
BDAT,IMM,Room2
BDAT,IMM,Room3
BDAT,IMM,Room4
BDAT,IMM,Room5
BDAT,IMM,Room6
BDAT,IMM,Room7
BDAT,IMM,Room8
GAT,STA,Room1
GAT,STA,Room2
GAT,STA,Room3
GAT,STA,Room4
GAT,STA,Room5
GAT,STA,Room6
GAT,STA,Room7
GAT,NAC,Room1
GAT,NAC,Room2
GAT,NAC,Room3
MER,ALD,Room1
MER,ALD,Room2
MER,ALD,Room3
MER,ALD,Room4
MER,ALD,Room5
MER,ALD,Room6
MER,ALD,Room7
MER,ALD,Room8
MER,QMGS,Room1
MER,QMGS,Room2
MER,QMGS,Room3
MER,QMGS,Room4
MER,QMGS,Room5
MER,QMGS,Room6
MER,QMHS,Room7
MER,QMHS,Room8
MER,QMHS,Room9
MER,QMHS,Room10
MER,QMHS,Room11
MER,QMHS,Room12
MER,QMHS,Room13
MER,SOA,Room1
MER,SOA,Room2
MER,SOA,Room3
MER,SOA,Room4
MER,SOA,Room5
